group_number,distance_from_shore_in_m,temp_depth_area_or_count,species_or_type,measurement,measurement_units,notes
2,0,count,Tegula funebralis,109,individuals,
2,0,area,Mazzaella flaccida,16,percent,
2,0,area,water,100,percent,
2,5,temp,water,16,C,
2,5,depth,water,7,cm,
2,5,count,Anthopleura elegantissima,42,individuals,
2,5,count,Tegula funebralis,14,individuals,
2,5,area,Endocladia muricata,16,percent,
2,5,area,Halosaccion glandiforme ,8,percent,
2,5,area,Mazzaella flaccida,16,percent,
2,5,area,Phyllospadix spp.,32,percent,
2,5,area,water,60,percent,
2,10,temp,water,16,C,
2,10,temp,water,16,C,
2,10,depth,water,4,cm,
2,10,depth,water,2,cm,
2,10,count,Anthopleura elegantissima,33,individuals,
2,10,count,Tegula funebralis ,21,individuals,
2,10,area,Endocladia muricata,36,percent,
2,10,area,Endocladia muricata,52,percent,
2,10,area,Halosaccion glandiforme ,4,percent,
2,10,area,Mazzaella flaccida,12,percent,
2,10,area,Mazzaella flaccida,16,percent,
2,15,depth,water,5,cm,
2,15,count,Anthopleura elegantissima,40,individuals,
2,15,count,Tegula funebralis,19,individuals,
2,15,area,Endocladia muricata,28,percent,
2,15,area,Mazzaella flaccida,12,percent,
2,20,depth,water,3,cm,
2,20,count,Anthopleura elegantissima,80,individuals,
2,20,count,Anthopleura sola,1,individuals,
2,20,count,Tegula funebralis,18,individuals,
2,20,area,Endocladia muricata,20,percent,
2,20,area,Mazzaella flaccida,12,percent,
2,20,area,water,8,percent,
2,25,depth,water,2,cm,
2,25,count,Anthopleura elegantissima,81,individuals,
2,25,count,Anthopleura sola,1,individuals,
2,25,count,Tegula funebralis,19,individuals,
2,25,area,Endocladia muricata,12,percent,
2,25,area,water,4,percent,
2,30,depth,water,3,cm,
2,30,count,Anthopleura elegantissima,72,individuals,
2,30,count,Tegula funebralis,21,individuals,
2,30,area,Endocladia muricata,40,percent,
2,30,area,Mazzaella flaccida,52,percent,
2,30,area,water,96,percent,
2,35,count,Anthopleura elegantissima,13,individuals,
2,35,count,Tegula funebralis,6,individuals,
2,35,area,Endocladia muricata,96,percent,
2,35,area,Mazzaella flaccida,4,percent,
2,35,area,water,4,percent,
2,40,count,Anthopleura elegantissima,5,individuals,
2,40,count,Tegula funebralis,3,individuals,
2,40,area,Endocladia muricata,24,percent,
2,40,area,Mazzaella flaccida,32,percent,
3,0,area,Balanus glandula,4,percent,
3,0,area,Fucus spp.,6,percent,
3,0,area,sand,60,percent,
3,0,area,water,40,percent,
3,5,count,Anthopleura elegantissima,21,individuals,
3,5,count,Tegula funebralis,5,individuals,
3,5,area,Balanus glandula,50,percent,
3,5,area,Corallina spp.,4,percent,
3,5,area,Fucus spp.,8,percent,
3,10,depth,water,4,cm,
3,10,count,Anthopleura elegantissima,68,individuals,
3,10,count,Tegula funebralis,24,individuals,
3,10,area,Corallina spp.,6,percent,
3,10,area,Endocladia muricata,4,percent,
3,10,area,water,12,percent,
3,15,depth,water,6,cm,water depth fluctuated with the tide
3,15,count,Anthopleura elegantissima,55,individuals,
3,15,count,Tegula funebralis,21,individuals,
3,15,area,Corallina spp.,2,percent,
3,15,area,Endocladia muricata,4,percent,
3,15,area,Mazzaella flaccida,2,percent,
3,15,area,water,20,percent,
3,20,count,Tegula funebralis,11,individuals,
3,20,area,Endocladia muricata,100,percent,
3,25,count,Anthopleura elegantissima,80,individuals,
3,25,count,Nuttallina californica,1,individuals,
3,25,count,Tegula funebralis,13,individuals,
3,25,area,Corallina spp.,12,percent,
3,25,area,Endocladia muricata,46,percent,
3,25,area,Mazzaella flaccida,2,percent,
3,25,area,water,2,percent,
3,30,depth,water,4,cm,
3,30,count,Anthopleura elegantissima,45,individuals,
3,30,count,Tegula funebralis,12,individuals,
3,30,area,Corallina spp.,8,percent,
3,30,area,Endocladia muricata,54,percent,
3,30,area,water,4,percent,
3,35,count,Anthopleura elegantissima,70,individuals,
3,35,count,Tegula funebralis,19,individuals,
3,35,area,Corallina spp.,40,percent,
3,35,area,Endocladia muricata,60,percent,
3,35,area,Mazzaella flaccida,2,percent,
3,40,count,Anthopleura elegantissima,26,individuals,
3,40,count,Tegula funebralis,2,individuals,
3,40,area,Corallina spp.,12,percent,
3,40,area,Endocladia muricata,90,percent,
3,40,area,Mazzaella flaccida,50,percent,
